Maximale erfüllbare Wünsche: 
1.	15
2.	4
3.	3

Zuordnung:  (G = Geschenk, P = Person, W = Wunsch)
G 	P 	W 	|	P 	G 	W
1	17	1	|	1	28	1
2	15	1	|	2	21	1
3	7	2	|	3	22	2
4	9	-	|	4	14	1
5	6	3	|	5	6	2
6	5	2	|	6	5	3
7	13	3	|	7	3	2
8	28	1	|	8	16	3
9	11	-	|	9	4	-
10	14	-	|	10	19	1
11	16	-	|	11	9	-
12	12	1	|	12	12	1
13	20	1	|	13	7	3
14	4	1	|	14	10	-
15	23	1	|	15	2	1
16	8	3	|	16	11	-
17	19	2	|	17	1	1
18	27	1	|	18	27	1
19	10	1	|	19	17	2
20	21	-	|	20	13	1
21	2	1	|	21	20	-
22	3	2	|	22	23	-
23	22	-	|	23	15	1
24	26	1	|	24	25	-
25	24	-	|	25	30	1
26	29	-	|	26	24	1
27	18	1	|	27	18	1
28	1	1	|	28	8	1
29	30	1	|	29	26	-
30	25	1	|	30	29	1
