Maximale erfüllbare Wünsche: 
1.	541
2.	127
3.	58

Zuordnung:  (G = Geschenk, P = Person, W = Wunsch)
G 	P 	W 	|	P 	G 	W
1	56	-	|	1	484	1
2	114	-	|	2	28	1
3	118	-	|	3	5	1
4	783	1	|	4	146	2
5	3	1	|	5	367	1
6	142	-	|	6	662	2
7	302	1	|	7	63	1
8	854	2	|	8	980	1
9	147	-	|	9	531	1
10	216	1	|	10	866	1
11	827	2	|	11	571	1
12	349	1	|	12	309	2
13	107	1	|	13	868	1
14	151	-	|	14	73	2
15	163	-	|	15	854	1
16	924	1	|	16	660	1
17	855	1	|	17	752	1
18	70	1	|	18	551	1
19	547	1	|	19	304	1
20	272	1	|	20	861	2
21	440	1	|	21	255	1
22	221	1	|	22	722	1
23	168	-	|	23	143	1
24	170	-	|	24	58	3
25	172	-	|	25	977	1
26	650	1	|	26	616	2
27	816	2	|	27	994	1
28	2	1	|	28	352	1
29	841	2	|	29	80	1
30	933	2	|	30	960	1
31	180	-	|	31	602	1
32	182	-	|	32	44	1
33	143	1	|	33	745	1
34	407	2	|	34	476	1
35	115	1	|	35	438	1
36	367	1	|	36	825	3
37	192	-	|	37	949	1
38	839	1	|	38	594	1
39	211	-	|	39	85	1
40	222	-	|	40	683	1
41	637	1	|	41	753	3
42	225	-	|	42	534	1
43	430	1	|	43	604	1
44	32	1	|	44	131	1
45	198	1	|	45	455	1
46	227	-	|	46	181	2
47	217	2	|	47	968	1
48	235	-	|	48	318	2
49	236	-	|	49	182	1
50	652	1	|	50	467	1
51	542	1	|	51	705	1
52	240	-	|	52	773	3
53	656	1	|	53	630	1
54	245	-	|	54	843	1
55	424	1	|	55	390	1
56	584	3	|	56	1	-
57	224	1	|	57	743	1
58	24	3	|	58	756	2
59	293	1	|	59	109	1
60	246	-	|	60	471	1
61	973	2	|	61	149	1
62	689	1	|	62	235	1
63	7	1	|	63	696	1
64	248	-	|	64	697	2
65	434	1	|	65	730	2
66	784	2	|	66	885	1
67	822	3	|	67	234	2
68	251	-	|	68	509	2
69	806	1	|	69	138	1
70	262	-	|	70	18	1
71	456	1	|	71	997	2
72	275	-	|	72	561	2
