Maximale erfüllbare Wünsche: 
1.	37
2.	3
3.	21

Zuordnung:  (G = Geschenk, P = Person, W = Wunsch)
G 	P 	W 	|	P 	G 	W
1	1	1	|	1	1	1
2	34	-	|	2	27	1
3	73	1	|	3	53	3
4	35	-	|	4	49	3
5	32	1	|	5	30	1
6	21	1	|	6	21	1
7	36	-	|	7	37	2
8	81	1	|	8	45	1
9	11	1	|	9	55	3
10	65	1	|	10	51	3
11	78	1	|	11	9	1
12	26	1	|	12	33	1
13	59	1	|	13	86	3
14	24	1	|	14	26	1
15	19	1	|	15	38	1
16	49	1	|	16	42	1
17	79	1	|	17	28	1
18	33	1	|	18	80	3
19	37	-	|	19	15	1
20	87	1	|	20	35	1
21	6	1	|	21	6	1
22	44	1	|	22	23	1
23	22	1	|	23	31	1
24	53	1	|	24	14	1
25	30	1	|	25	84	3
26	14	1	|	26	12	1
27	2	1	|	27	74	3
28	17	1	|	28	39	1
29	43	1	|	29	78	3
30	5	1	|	30	25	1
31	23	1	|	31	54	3
32	41	2	|	32	5	1
33	12	1	|	33	18	1
34	39	-	|	34	2	-
35	20	1	|	35	4	-
36	47	-	|	36	7	-
37	7	2	|	37	19	-
38	15	1	|	38	48	1
39	28	1	|	39	34	-
40	51	1	|	40	87	3
41	86	1	|	41	32	2
42	16	1	|	42	83	3
43	48	-	|	43	29	1
44	50	-	|	44	22	1
45	8	1	|	45	47	2
46	58	1	|	46	85	3
47	45	2	|	47	36	-
48	38	1	|	48	43	-
49	4	3	|	49	16	1
50	54	-	|	50	44	-
51	10	3	|	51	40	1
52	56	-	|	52	65	3
53	3	3	|	53	24	1
54	31	3	|	54	50	-
55	9	3	|	55	62	3
56	57	-	|	56	52	-
57	61	-	|	57	56	-
58	77	3	|	58	46	1
59	63	-	|	59	13	1
60	66	-	|	60	81	3
61	67	-	|	61	57	-
62	55	3	|	62	75	3
63	82	3	|	63	59	-
64	68	-	|	64	67	3
65	52	3	|	65	10	1
66	69	-	|	66	60	-
67	64	3	|	67	61	-
68	70	-	|	68	64	-
69	71	-	|	69	66	-
70	74	-	|	70	68	-
71	75	-	|	71	69	-
72	76	-	|	72	90	3
73	80	-	|	73	3	1
74	27	3	|	74	70	-
75	62	3	|	75	71	-
76	83	-	|	76	72	-
77	84	-	|	77	58	3
78	29	3	|	78	11	1
79	85	-	|	79	17	1
80	18	3	|	80	73	-
81	60	3	|	81	8	1
82	88	-	|	82	63	3
83	42	3	|	83	76	-
84	25	3	|	84	77	-
85	46	3	|	85	79	-
86	13	3	|	86	41	1
87	40	3	|	87	20	1
88	89	-	|	88	82	-
89	90	-	|	89	88	-
90	72	3	|	90	89	-
