Maximale erfüllbare Wünsche: 
1.	13
2.	1
3.	7

Zuordnung:  (G = Geschenk, P = Person, W = Wunsch)
G 	P 	W 	|	P 	G 	W
1	21	1	|	1	25	3
2	6	1	|	2	6	1
3	20	3	|	3	7	1
4	7	1	|	4	19	3
5	9	-	|	5	27	3
6	2	1	|	6	2	1
7	3	1	|	7	4	1
8	16	2	|	8	18	1
9	10	-	|	9	5	-
10	15	1	|	10	9	-
11	24	1	|	11	14	1
12	28	1	|	12	13	1
13	12	1	|	13	16	-
14	11	1	|	14	15	1
15	14	1	|	15	10	1
16	13	-	|	16	8	2
17	29	1	|	17	26	3
18	8	1	|	18	23	3
19	4	3	|	19	20	-
20	19	-	|	20	3	3
21	22	-	|	21	1	1
22	23	-	|	22	21	-
23	18	3	|	23	22	-
24	25	-	|	24	11	1
25	1	3	|	25	24	-
26	17	3	|	26	28	-
27	5	3	|	27	30	3
28	26	-	|	28	12	1
29	30	-	|	29	17	1
30	27	3	|	30	29	-
